""	"task"	"year"	"num_dataset_births"	"num_papers_adopting"	"num_dataset_homegrown"	"num_dataset_imports"	"num_papers_growing"	"size"	"task_age"	"adoption_ratio"	"creation_ratio"	"adoption_pct"	"creation_pct"	"pwc_size"	"CV"	"NLP"	"Methodology"
"2036"	"Lung Nodule Segmentation"	"2020.0"	"0.0"	"7.0"	"0.0"	"0.0"	"0.0"	"7.0"	"2015.0"	"inf"	""	"1.0"	""	"63637"	"1"	"0"	"0"
"2037"	"Machine Translation"	"2021.0"	"0.0"	"2.0"	"0.0"	"0.0"	"46.0"	"48.0"	"2007.0"	"0.043478260869565216"	""	"0.041666666666666664"	""	"37713"	"0"	"1"	"0"
"2038"	"Material Classification"	"2017.0"	"0.0"	"3.0"	"0.0"	"0.0"	"0.0"	"3.0"	"2013.0"	"inf"	""	"1.0"	""	"23430"	"1"	"0"	"0"
"2039"	"Material Classification"	"2018.0"	"0.0"	"2.0"	"0.0"	"0.0"	"0.0"	"2.0"	"2013.0"	"inf"	""	"1.0"	""	"36754"	"1"	"0"	"0"
"2040"	"Medical Image Segmentation"	"2015.0"	"0.0"	"1.0"	"0.0"	"0.0"	"2.0"	"3.0"	"2014.0"	"0.5"	""	"0.3333333333333333"	""	"12115"	"1"	"0"	"0"
"2041"	"Medical Named Entity Recognition"	"2021.0"	"0.0"	"1.0"	"0.0"	"0.0"	"0.0"	"1.0"	"2014.0"	"inf"	""	"1.0"	""	"37713"	"0"	"1"	"0"
"2042"	"Medical Object Detection"	"2020.0"	"0.0"	"6.0"	"0.0"	"0.0"	"0.0"	"6.0"	"2017.0"	"inf"	""	"1.0"	""	"63637"	"1"	"0"	"0"
"2043"	"Meta-Learning"	"2016.0"	"0.0"	"2.0"	"0.0"	"0.0"	"0.0"	"2.0"	"2011.0"	"inf"	""	"1.0"	""	"17276"	"0"	"0"	"1"
"2044"	"Meta-Learning"	"2017.0"	"0.0"	"4.0"	"0.0"	"0.0"	"3.0"	"7.0"	"2011.0"	"1.3333333333333333"	""	"0.5714285714285714"	""	"23430"	"0"	"0"	"1"
"2045"	"Meta-Learning"	"2018.0"	"0.0"	"1.0"	"0.0"	"0.0"	"0.0"	"1.0"	"2011.0"	"inf"	""	"1.0"	""	"36754"	"0"	"0"	"1"
"2046"	"Meta-Learning"	"2020.0"	"0.0"	"6.0"	"0.0"	"0.0"	"13.0"	"19.0"	"2011.0"	"0.46153846153846156"	""	"0.3157894736842105"	""	"63637"	"0"	"0"	"1"
"2047"	"Meta-Learning"	"2021.0"	"0.0"	"6.0"	"0.0"	"0.0"	"8.0"	"14.0"	"2011.0"	"0.75"	""	"0.42857142857142855"	""	"37713"	"0"	"0"	"1"
"2048"	"Method name prediction"	"2020.0"	"0.0"	"1.0"	"0.0"	"0.0"	"0.0"	"1.0"	"2019.0"	"inf"	""	"1.0"	""	"63637"	"0"	"1"	"0"
"2049"	"Metric Learning"	"2013.0"	"0.0"	"9.0"	"0.0"	"0.0"	"0.0"	"9.0"	"2008.0"	"inf"	""	"1.0"	""	"6822"	"1"	"0"	"1"
"2050"	"Metric Learning"	"2015.0"	"0.0"	"16.0"	"0.0"	"0.0"	"0.0"	"16.0"	"2008.0"	"inf"	""	"1.0"	""	"12115"	"1"	"0"	"1"
"2051"	"Metric Learning"	"2018.0"	"0.0"	"9.0"	"0.0"	"0.0"	"9.0"	"18.0"	"2008.0"	"1.0"	""	"0.5"	""	"36754"	"1"	"0"	"1"
"2052"	"Metric Learning"	"2020.0"	"0.0"	"9.0"	"0.0"	"0.0"	"17.0"	"26.0"	"2008.0"	"0.5294117647058824"	""	"0.34615384615384615"	""	"63637"	"1"	"0"	"1"
"2053"	"Metric Learning"	"2021.0"	"0.0"	"2.0"	"0.0"	"0.0"	"7.0"	"9.0"	"2008.0"	"0.2857142857142857"	""	"0.2222222222222222"	""	"37713"	"1"	"0"	"1"
"2054"	"Micro-Expression Recognition"	"2020.0"	"0.0"	"1.0"	"0.0"	"0.0"	"0.0"	"1.0"	"2016.0"	"inf"	""	"1.0"	""	"63637"	"1"	"0"	"0"
"2055"	"Micro-Expression Spotting"	"2019.0"	"0.0"	"1.0"	"0.0"	"2.0"	"0.0"	"1.0"	"2015.0"	"inf"	"0.0"	"1.0"	"0.0"	"49025"	"1"	"0"	"0"
"2056"	"Micro-Expression Spotting"	"2020.0"	"0.0"	"1.0"	"0.0"	"0.0"	"0.0"	"1.0"	"2015.0"	"inf"	""	"1.0"	""	"63637"	"1"	"0"	"0"
"2057"	"Minecraft"	"2020.0"	"0.0"	"1.0"	"0.0"	"0.0"	"0.0"	"1.0"	"2014.0"	"inf"	""	"1.0"	""	"63637"	"0"	"0"	"1"
"2058"	"Misinformation"	"2018.0"	"0.0"	"1.0"	"0.0"	"0.0"	"0.0"	"1.0"	"2012.0"	"inf"	""	"1.0"	""	"36754"	"0"	"0"	"0"
"2059"	"Misinformation"	"2019.0"	"0.0"	"1.0"	"0.0"	"6.0"	"1.0"	"2.0"	"2012.0"	"1.0"	"0.0"	"0.5"	"0.0"	"49025"	"0"	"0"	"0"
"2060"	"Misinformation"	"2020.0"	"0.0"	"6.0"	"0.0"	"0.0"	"3.0"	"9.0"	"2012.0"	"2.0"	""	"0.6666666666666666"	""	"63637"	"0"	"0"	"0"
"2061"	"Misinformation"	"2021.0"	"0.0"	"2.0"	"0.0"	"0.0"	"2.0"	"4.0"	"2012.0"	"1.0"	""	"0.5"	""	"37713"	"0"	"0"	"0"
"2062"	"Missing Elements"	"2017.0"	"0.0"	"1.0"	"0.0"	"0.0"	"0.0"	"1.0"	"2007.0"	"inf"	""	"1.0"	""	"23430"	"0"	"0"	"0"
"2063"	"Model-based Reinforcement Learning"	"2021.0"	"0.0"	"1.0"	"0.0"	"0.0"	"0.0"	"1.0"	"2007.0"	"inf"	""	"1.0"	""	"37713"	"0"	"0"	"0"
"2064"	"Monocular 3D Human Pose Estimation"	"2016.0"	"0.0"	"4.0"	"0.0"	"0.0"	"0.0"	"4.0"	"2013.0"	"inf"	""	"1.0"	""	"17276"	"1"	"0"	"0"
"2065"	"Monocular 3D Human Pose Estimation"	"2018.0"	"0.0"	"4.0"	"0.0"	"0.0"	"0.0"	"4.0"	"2013.0"	"inf"	""	"1.0"	""	"36754"	"1"	"0"	"0"
"2066"	"Monocular 3D Human Pose Estimation"	"2019.0"	"0.0"	"17.0"	"0.0"	"14.0"	"0.0"	"17.0"	"2013.0"	"inf"	"0.0"	"1.0"	"0.0"	"49025"	"1"	"0"	"0"
"2067"	"Monocular 3D Human Pose Estimation"	"2020.0"	"0.0"	"9.0"	"0.0"	"0.0"	"0.0"	"9.0"	"2013.0"	"inf"	""	"1.0"	""	"63637"	"1"	"0"	"0"
"2068"	"Monocular 3D Human Pose Estimation"	"2021.0"	"0.0"	"5.0"	"0.0"	"0.0"	"0.0"	"5.0"	"2013.0"	"inf"	""	"1.0"	""	"37713"	"1"	"0"	"0"
"2069"	"Monocular 3D Object Detection"	"2018.0"	"0.0"	"2.0"	"0.0"	"0.0"	"0.0"	"2.0"	"2016.0"	"inf"	""	"1.0"	""	"36754"	"1"	"0"	"0"
"2070"	"Monocular 3D Object Detection"	"2019.0"	"0.0"	"1.0"	"0.0"	"6.0"	"0.0"	"1.0"	"2016.0"	"inf"	"0.0"	"1.0"	"0.0"	"49025"	"1"	"0"	"0"
"2071"	"Monocular 3D Object Detection"	"2020.0"	"0.0"	"2.0"	"0.0"	"0.0"	"0.0"	"2.0"	"2016.0"	"inf"	""	"1.0"	""	"63637"	"1"	"0"	"0"
"2072"	"Monocular 3D Object Detection"	"2021.0"	"0.0"	"5.0"	"0.0"	"0.0"	"0.0"	"5.0"	"2016.0"	"inf"	""	"1.0"	""	"37713"	"1"	"0"	"0"
"2073"	"Monocular 3D Object Localization"	"2018.0"	"0.0"	"4.0"	"0.0"	"0.0"	"0.0"	"4.0"	"2018.0"	"inf"	""	"1.0"	""	"36754"	"1"	"0"	"0"
"2074"	"Monocular 3D Object Localization"	"2019.0"	"0.0"	"4.0"	"0.0"	"2.0"	"0.0"	"4.0"	"2018.0"	"inf"	"0.0"	"1.0"	"0.0"	"49025"	"1"	"0"	"0"
"2075"	"Monocular Depth Estimation"	"2014.0"	"0.0"	"4.0"	"0.0"	"0.0"	"0.0"	"4.0"	"2014.0"	"inf"	""	"1.0"	""	"9766"	"1"	"0"	"0"
"2076"	"Monocular Depth Estimation"	"2015.0"	"0.0"	"2.0"	"0.0"	"0.0"	"0.0"	"2.0"	"2014.0"	"inf"	""	"1.0"	""	"12115"	"1"	"0"	"0"
"2077"	"Monocular Depth Estimation"	"2017.0"	"0.0"	"20.0"	"0.0"	"0.0"	"0.0"	"20.0"	"2014.0"	"inf"	""	"1.0"	""	"23430"	"1"	"0"	"0"
"2078"	"Monocular Depth Estimation"	"2018.0"	"0.0"	"126.0"	"0.0"	"0.0"	"0.0"	"126.0"	"2014.0"	"inf"	""	"1.0"	""	"36754"	"1"	"0"	"0"
"2079"	"Monocular Depth Estimation"	"2020.0"	"0.0"	"231.0"	"0.0"	"17.0"	"0.0"	"231.0"	"2014.0"	"inf"	"0.0"	"1.0"	"0.0"	"63637"	"1"	"0"	"0"
"2080"	"Monocular Depth Estimation"	"2021.0"	"0.0"	"106.0"	"0.0"	"0.0"	"0.0"	"106.0"	"2014.0"	"inf"	""	"1.0"	""	"37713"	"1"	"0"	"0"
"2081"	"Morphological Analysis"	"2018.0"	"0.0"	"1.0"	"0.0"	"0.0"	"0.0"	"1.0"	"2012.0"	"inf"	""	"1.0"	""	"36754"	"0"	"1"	"0"
"2082"	"Morphological Analysis"	"2020.0"	"0.0"	"1.0"	"0.0"	"2.0"	"0.0"	"1.0"	"2012.0"	"inf"	"0.0"	"1.0"	"0.0"	"63637"	"0"	"1"	"0"
"2083"	"Motion Capture"	"2021.0"	"0.0"	"2.0"	"0.0"	"0.0"	"10.0"	"12.0"	"2008.0"	"0.2"	""	"0.16666666666666666"	""	"37713"	"1"	"0"	"0"
"2084"	"Motion Compensation"	"2018.0"	"0.0"	"10.0"	"0.0"	"0.0"	"0.0"	"10.0"	"2013.0"	"inf"	""	"1.0"	""	"36754"	"1"	"0"	"0"
"2085"	"Motion Compensation"	"2019.0"	"0.0"	"5.0"	"0.0"	"0.0"	"0.0"	"5.0"	"2013.0"	"inf"	""	"1.0"	""	"49025"	"1"	"0"	"0"
"2086"	"Motion Compensation"	"2020.0"	"0.0"	"5.0"	"0.0"	"7.0"	"0.0"	"5.0"	"2013.0"	"inf"	"0.0"	"1.0"	"0.0"	"63637"	"1"	"0"	"0"
"2087"	"Motion Estimation"	"2018.0"	"0.0"	"1.0"	"0.0"	"0.0"	"0.0"	"1.0"	"2010.0"	"inf"	""	"1.0"	""	"36754"	"1"	"0"	"0"
"2088"	"Multi-Document Summarization"	"2014.0"	"0.0"	"2.0"	"0.0"	"0.0"	"0.0"	"2.0"	"2012.0"	"inf"	""	"1.0"	""	"9766"	"0"	"1"	"0"
"2089"	"Multi-Document Summarization"	"2015.0"	"0.0"	"1.0"	"0.0"	"0.0"	"0.0"	"1.0"	"2012.0"	"inf"	""	"1.0"	""	"12115"	"0"	"1"	"0"
"2090"	"Multi-Hop Reading Comprehension"	"2019.0"	"0.0"	"5.0"	"0.0"	"0.0"	"0.0"	"5.0"	"2017.0"	"inf"	""	"1.0"	""	"49025"	"0"	"1"	"0"
"2091"	"Multi-Hop Reading Comprehension"	"2020.0"	"0.0"	"1.0"	"0.0"	"2.0"	"0.0"	"1.0"	"2017.0"	"inf"	"0.0"	"1.0"	"0.0"	"63637"	"0"	"1"	"0"
"2092"	"Multi-Human Parsing"	"2015.0"	"0.0"	"1.0"	"0.0"	"0.0"	"0.0"	"1.0"	"2015.0"	"inf"	""	"1.0"	""	"12115"	"1"	"0"	"0"
"2093"	"Multi-Human Parsing"	"2018.0"	"0.0"	"1.0"	"0.0"	"0.0"	"0.0"	"1.0"	"2015.0"	"inf"	""	"1.0"	""	"36754"	"1"	"0"	"0"
"2094"	"Multi-Human Parsing"	"2019.0"	"0.0"	"1.0"	"0.0"	"0.0"	"0.0"	"1.0"	"2015.0"	"inf"	""	"1.0"	""	"49025"	"1"	"0"	"0"
"2095"	"Multi-Label Classification"	"2015.0"	"0.0"	"2.0"	"0.0"	"0.0"	"0.0"	"2.0"	"2010.0"	"inf"	""	"1.0"	""	"12115"	"0"	"0"	"1"
"2096"	"Multi-Label Classification"	"2016.0"	"0.0"	"13.0"	"0.0"	"0.0"	"0.0"	"13.0"	"2010.0"	"inf"	""	"1.0"	""	"17276"	"0"	"0"	"1"
"2097"	"Multi-Label Classification"	"2017.0"	"0.0"	"16.0"	"0.0"	"0.0"	"0.0"	"16.0"	"2010.0"	"inf"	""	"1.0"	""	"23430"	"0"	"0"	"1"
"2098"	"Multi-Label Classification"	"2018.0"	"0.0"	"23.0"	"0.0"	"0.0"	"0.0"	"23.0"	"2010.0"	"inf"	""	"1.0"	""	"36754"	"0"	"0"	"1"
"2099"	"Multi-Label Classification"	"2020.0"	"0.0"	"28.0"	"0.0"	"16.0"	"0.0"	"28.0"	"2010.0"	"inf"	"0.0"	"1.0"	"0.0"	"63637"	"0"	"0"	"1"
"2100"	"Multi-Label Classification"	"2021.0"	"0.0"	"28.0"	"0.0"	"0.0"	"0.0"	"28.0"	"2010.0"	"inf"	""	"1.0"	""	"37713"	"0"	"0"	"1"
"2101"	"Multi-Label Image Classification"	"2020.0"	"0.0"	"3.0"	"0.0"	"1.0"	"0.0"	"3.0"	"2010.0"	"inf"	"0.0"	"1.0"	"0.0"	"63637"	"1"	"0"	"1"
"2102"	"Multi-Label Image Retrieval"	"2019.0"	"0.0"	"2.0"	"0.0"	"0.0"	"0.0"	"2.0"	"2015.0"	"inf"	""	"1.0"	""	"49025"	"1"	"0"	"0"
"2103"	"Multi-Label Text Classification"	"2013.0"	"0.0"	"1.0"	"0.0"	"0.0"	"0.0"	"1.0"	"2013.0"	"inf"	""	"1.0"	""	"6822"	"0"	"1"	"1"
"2104"	"Multi-Label Text Classification"	"2016.0"	"0.0"	"1.0"	"0.0"	"0.0"	"0.0"	"1.0"	"2013.0"	"inf"	""	"1.0"	""	"17276"	"0"	"1"	"1"
"2105"	"Multi-Label Text Classification"	"2018.0"	"0.0"	"5.0"	"0.0"	"0.0"	"0.0"	"5.0"	"2013.0"	"inf"	""	"1.0"	""	"36754"	"0"	"1"	"1"
"2106"	"Multi-Label Text Classification"	"2020.0"	"0.0"	"2.0"	"0.0"	"7.0"	"0.0"	"2.0"	"2013.0"	"inf"	"0.0"	"1.0"	"0.0"	"63637"	"0"	"1"	"1"
"2107"	"Multi-Label Text Classification"	"2021.0"	"0.0"	"2.0"	"0.0"	"0.0"	"0.0"	"2.0"	"2013.0"	"inf"	""	"1.0"	""	"37713"	"0"	"1"	"1"
"2108"	"Multi-Modal Document Classification"	"2020.0"	"0.0"	"5.0"	"0.0"	"3.0"	"0.0"	"5.0"	"2020.0"	"inf"	"0.0"	"1.0"	"0.0"	"63637"	"0"	"0"	"0"
"2109"	"Multi-Object Tracking"	"2015.0"	"0.0"	"12.0"	"0.0"	"0.0"	"0.0"	"12.0"	"2011.0"	"inf"	""	"1.0"	""	"12115"	"1"	"0"	"0"
"2110"	"Multi-Object Tracking"	"2017.0"	"0.0"	"8.0"	"0.0"	"0.0"	"0.0"	"8.0"	"2011.0"	"inf"	""	"1.0"	""	"23430"	"1"	"0"	"0"
"2111"	"Multi-Object Tracking"	"2018.0"	"0.0"	"17.0"	"0.0"	"0.0"	"0.0"	"17.0"	"2011.0"	"inf"	""	"1.0"	""	"36754"	"1"	"0"	"0"
"2112"	"Multi-Object Tracking"	"2019.0"	"0.0"	"53.0"	"0.0"	"0.0"	"0.0"	"53.0"	"2011.0"	"inf"	""	"1.0"	""	"49025"	"1"	"0"	"0"
"2113"	"Multi-Object Tracking"	"2021.0"	"0.0"	"33.0"	"0.0"	"0.0"	"0.0"	"33.0"	"2011.0"	"inf"	""	"1.0"	""	"37713"	"1"	"0"	"0"
"2114"	"Multi-Oriented Scene Text Detection"	"2017.0"	"0.0"	"2.0"	"0.0"	"0.0"	"0.0"	"2.0"	"2017.0"	"inf"	""	"1.0"	""	"23430"	"1"	"0"	"0"
"2115"	"Multi-Oriented Scene Text Detection"	"2018.0"	"0.0"	"2.0"	"0.0"	"0.0"	"0.0"	"2.0"	"2017.0"	"inf"	""	"1.0"	""	"36754"	"1"	"0"	"0"
"2116"	"Multi-Oriented Scene Text Detection"	"2020.0"	"0.0"	"2.0"	"0.0"	"3.0"	"0.0"	"2.0"	"2017.0"	"inf"	"0.0"	"1.0"	"0.0"	"63637"	"1"	"0"	"0"
"2117"	"Multi-Person Pose Estimation"	"2016.0"	"0.0"	"6.0"	"0.0"	"0.0"	"0.0"	"6.0"	"2015.0"	"inf"	""	"1.0"	""	"17276"	"1"	"0"	"0"
"2118"	"Multi-Person Pose Estimation"	"2017.0"	"0.0"	"8.0"	"0.0"	"0.0"	"0.0"	"8.0"	"2015.0"	"inf"	""	"1.0"	""	"23430"	"1"	"0"	"0"
"2119"	"Multi-Person Pose Estimation"	"2020.0"	"0.0"	"26.0"	"0.0"	"7.0"	"0.0"	"26.0"	"2015.0"	"inf"	"0.0"	"1.0"	"0.0"	"63637"	"1"	"0"	"0"
"2120"	"Multi-Person Pose Estimation"	"2021.0"	"0.0"	"18.0"	"0.0"	"0.0"	"0.0"	"18.0"	"2015.0"	"inf"	""	"1.0"	""	"37713"	"1"	"0"	"0"
"2121"	"Multi-Person Pose Estimation and Tracking"	"2018.0"	"0.0"	"4.0"	"0.0"	"0.0"	"0.0"	"4.0"	"2016.0"	"inf"	""	"1.0"	""	"36754"	"1"	"0"	"0"
"2122"	"Multi-Person Pose Estimation and Tracking"	"2019.0"	"0.0"	"4.0"	"0.0"	"0.0"	"0.0"	"4.0"	"2016.0"	"inf"	""	"1.0"	""	"49025"	"1"	"0"	"0"
"2123"	"Multi-Person Pose Estimation and Tracking"	"2020.0"	"0.0"	"4.0"	"0.0"	"4.0"	"0.0"	"4.0"	"2016.0"	"inf"	"0.0"	"1.0"	"0.0"	"63637"	"1"	"0"	"0"
"2124"	"Multi-Person Pose Estimation and Tracking"	"2021.0"	"0.0"	"2.0"	"0.0"	"0.0"	"0.0"	"2.0"	"2016.0"	"inf"	""	"1.0"	""	"37713"	"1"	"0"	"0"
"2125"	"Multi-Source Unsupervised Domain Adaptation"	"2020.0"	"0.0"	"12.0"	"0.0"	"4.0"	"0.0"	"12.0"	"2018.0"	"inf"	"0.0"	"1.0"	"0.0"	"63637"	"0"	"0"	"0"
"2126"	"Multi-Source Unsupervised Domain Adaptation"	"2021.0"	"0.0"	"10.0"	"0.0"	"0.0"	"0.0"	"10.0"	"2018.0"	"inf"	""	"1.0"	""	"37713"	"0"	"0"	"0"
"2127"	"Multi-Task Learning"	"2016.0"	"0.0"	"5.0"	"0.0"	"0.0"	"0.0"	"5.0"	"2007.0"	"inf"	""	"1.0"	""	"17276"	"0"	"0"	"1"
"2128"	"Multi-Task Learning"	"2017.0"	"0.0"	"5.0"	"0.0"	"0.0"	"0.0"	"5.0"	"2007.0"	"inf"	""	"1.0"	""	"23430"	"0"	"0"	"1"
"2129"	"Multi-Task Learning"	"2018.0"	"0.0"	"26.0"	"0.0"	"0.0"	"0.0"	"26.0"	"2007.0"	"inf"	""	"1.0"	""	"36754"	"0"	"0"	"1"
"2130"	"Multi-Task Learning"	"2019.0"	"0.0"	"49.0"	"0.0"	"0.0"	"1.0"	"50.0"	"2007.0"	"49.0"	""	"0.98"	""	"49025"	"0"	"0"	"1"
"2131"	"Multi-Task Learning"	"2021.0"	"0.0"	"28.0"	"0.0"	"0.0"	"3.0"	"31.0"	"2007.0"	"9.333333333333334"	""	"0.9032258064516129"	""	"37713"	"0"	"0"	"1"
"2132"	"Multi-View 3D Shape Retrieval"	"2020.0"	"0.0"	"2.0"	"0.0"	"1.0"	"0.0"	"2.0"	"2018.0"	"inf"	"0.0"	"1.0"	"0.0"	"63637"	"1"	"0"	"0"
"2133"	"Multi-agent Reinforcement Learning"	"2018.0"	"0.0"	"3.0"	"0.0"	"0.0"	"0.0"	"3.0"	"2009.0"	"inf"	""	"1.0"	""	"36754"	"0"	"0"	"1"
"2134"	"Multi-agent Reinforcement Learning"	"2019.0"	"0.0"	"4.0"	"0.0"	"0.0"	"0.0"	"4.0"	"2009.0"	"inf"	""	"1.0"	""	"49025"	"0"	"0"	"1"
"2135"	"Multi-agent Reinforcement Learning"	"2020.0"	"0.0"	"1.0"	"0.0"	"4.0"	"0.0"	"1.0"	"2009.0"	"inf"	"0.0"	"1.0"	"0.0"	"63637"	"0"	"0"	"1"
"2136"	"Multi-domain Dialogue State Tracking"	"2018.0"	"0.0"	"3.0"	"0.0"	"0.0"	"0.0"	"3.0"	"2017.0"	"inf"	""	"1.0"	""	"36754"	"0"	"0"	"0"
"2137"	"Multi-domain Dialogue State Tracking"	"2019.0"	"0.0"	"10.0"	"0.0"	"0.0"	"0.0"	"10.0"	"2017.0"	"inf"	""	"1.0"	""	"49025"	"0"	"0"	"0"
"2138"	"Multi-domain Dialogue State Tracking"	"2020.0"	"0.0"	"8.0"	"0.0"	"3.0"	"0.0"	"8.0"	"2017.0"	"inf"	"0.0"	"1.0"	"0.0"	"63637"	"0"	"0"	"0"
"2139"	"Multi-label zero-shot learning"	"2016.0"	"0.0"	"2.0"	"0.0"	"0.0"	"0.0"	"2.0"	"2015.0"	"inf"	""	"1.0"	""	"17276"	"1"	"0"	"1"
"2140"	"Multi-label zero-shot learning"	"2017.0"	"0.0"	"4.0"	"0.0"	"0.0"	"0.0"	"4.0"	"2015.0"	"inf"	""	"1.0"	""	"23430"	"1"	"0"	"1"
"2141"	"Multi-label zero-shot learning"	"2020.0"	"0.0"	"2.0"	"0.0"	"5.0"	"0.0"	"2.0"	"2015.0"	"inf"	"0.0"	"1.0"	"0.0"	"63637"	"1"	"0"	"1"
"2142"	"Multi-label zero-shot learning"	"2021.0"	"0.0"	"4.0"	"0.0"	"0.0"	"0.0"	"4.0"	"2015.0"	"inf"	""	"1.0"	""	"37713"	"1"	"0"	"1"
"2143"	"Multi-modal Subspace Clustering"	"2018.0"	"0.0"	"4.0"	"0.0"	"0.0"	"0.0"	"4.0"	"2018.0"	"inf"	""	"1.0"	""	"36754"	"1"	"0"	"0"
"2144"	"Multi-object discovery"	"2020.0"	"0.0"	"2.0"	"0.0"	"2.0"	"0.0"	"2.0"	"2020.0"	"inf"	"0.0"	"1.0"	"0.0"	"63637"	"1"	"0"	"0"
"2145"	"Multi-object discovery"	"2021.0"	"0.0"	"2.0"	"0.0"	"0.0"	"0.0"	"2.0"	"2020.0"	"inf"	""	"1.0"	""	"37713"	"1"	"0"	"0"
"2146"	"Multi-target Domain Adaptation"	"2014.0"	"0.0"	"4.0"	"0.0"	"0.0"	"0.0"	"4.0"	"2014.0"	"inf"	""	"1.0"	""	"9766"	"1"	"0"	"0"
"2147"	"Multi-target Domain Adaptation"	"2019.0"	"0.0"	"12.0"	"0.0"	"0.0"	"0.0"	"12.0"	"2014.0"	"inf"	""	"1.0"	""	"49025"	"1"	"0"	"0"
"2148"	"Multi-target Domain Adaptation"	"2020.0"	"0.0"	"1.0"	"0.0"	"9.0"	"0.0"	"1.0"	"2014.0"	"inf"	"0.0"	"1.0"	"0.0"	"63637"	"1"	"0"	"0"
"2149"	"Multi-target Domain Adaptation"	"2021.0"	"0.0"	"6.0"	"0.0"	"0.0"	"0.0"	"6.0"	"2014.0"	"inf"	""	"1.0"	""	"37713"	"1"	"0"	"0"
"2150"	"Multi-view Subspace Clustering"	"2016.0"	"0.0"	"3.0"	"0.0"	"0.0"	"0.0"	"3.0"	"2015.0"	"inf"	""	"1.0"	""	"17276"	"1"	"0"	"0"
"2151"	"Multi-view Subspace Clustering"	"2018.0"	"0.0"	"4.0"	"0.0"	"0.0"	"0.0"	"4.0"	"2015.0"	"inf"	""	"1.0"	""	"36754"	"1"	"0"	"0"
"2152"	"Multimodal Activity Recognition"	"2015.0"	"0.0"	"2.0"	"0.0"	"0.0"	"0.0"	"2.0"	"2014.0"	"inf"	""	"1.0"	""	"12115"	"1"	"0"	"0"
"2153"	"Multimodal Activity Recognition"	"2016.0"	"0.0"	"8.0"	"0.0"	"0.0"	"0.0"	"8.0"	"2014.0"	"inf"	""	"1.0"	""	"17276"	"1"	"0"	"0"
"2154"	"Multimodal Activity Recognition"	"2017.0"	"0.0"	"3.0"	"0.0"	"0.0"	"0.0"	"3.0"	"2014.0"	"inf"	""	"1.0"	""	"23430"	"1"	"0"	"0"
"2155"	"Multimodal Activity Recognition"	"2018.0"	"0.0"	"28.0"	"0.0"	"0.0"	"0.0"	"28.0"	"2014.0"	"inf"	""	"1.0"	""	"36754"	"1"	"0"	"0"
"2156"	"Multimodal Activity Recognition"	"2019.0"	"0.0"	"7.0"	"0.0"	"0.0"	"1.0"	"8.0"	"2014.0"	"7.0"	""	"0.875"	""	"49025"	"1"	"0"	"0"
"2157"	"Multimodal Activity Recognition"	"2020.0"	"0.0"	"4.0"	"0.0"	"18.0"	"0.0"	"4.0"	"2014.0"	"inf"	"0.0"	"1.0"	"0.0"	"63637"	"1"	"0"	"0"
"2158"	"Multimodal Deep Learning"	"2020.0"	"0.0"	"3.0"	"0.0"	"1.0"	"0.0"	"3.0"	"2014.0"	"inf"	"0.0"	"1.0"	"0.0"	"63637"	"0"	"1"	"1"
"2159"	"Multimodal Text and Image Classification"	"2020.0"	"0.0"	"4.0"	"0.0"	"2.0"	"0.0"	"4.0"	"2020.0"	"inf"	"0.0"	"1.0"	"0.0"	"63637"	"0"	"1"	"1"
"2160"	"Multimodal Unsupervised Image-To-Image Translation"	"2017.0"	"0.0"	"7.0"	"0.0"	"0.0"	"0.0"	"7.0"	"2017.0"	"inf"	""	"1.0"	""	"23430"	"1"	"0"	"0"
"2161"	"Multimodal Unsupervised Image-To-Image Translation"	"2018.0"	"0.0"	"11.0"	"0.0"	"0.0"	"0.0"	"11.0"	"2017.0"	"inf"	""	"1.0"	""	"36754"	"1"	"0"	"0"
"2162"	"Multimodal Unsupervised Image-To-Image Translation"	"2021.0"	"0.0"	"2.0"	"0.0"	"0.0"	"0.0"	"2.0"	"2017.0"	"inf"	""	"1.0"	""	"37713"	"1"	"0"	"0"
"2163"	"Multiple Action Detection"	"2018.0"	"0.0"	"6.0"	"0.0"	"0.0"	"0.0"	"6.0"	"2018.0"	"inf"	""	"1.0"	""	"36754"	"1"	"0"	"0"
"2164"	"Multiple Instance Learning"	"2020.0"	"0.0"	"1.0"	"0.0"	"0.0"	"3.0"	"4.0"	"2007.0"	"0.3333333333333333"	""	"0.25"	""	"63637"	"0"	"0"	"1"
"2165"	"Multiple Object Tracking"	"2014.0"	"0.0"	"4.0"	"0.0"	"0.0"	"0.0"	"4.0"	"2009.0"	"inf"	""	"1.0"	""	"9766"	"1"	"0"	"0"
"2166"	"Multiple Object Tracking"	"2017.0"	"0.0"	"9.0"	"0.0"	"0.0"	"0.0"	"9.0"	"2009.0"	"inf"	""	"1.0"	""	"23430"	"1"	"0"	"0"
"2167"	"Multiple Object Tracking"	"2018.0"	"0.0"	"17.0"	"0.0"	"0.0"	"0.0"	"17.0"	"2009.0"	"inf"	""	"1.0"	""	"36754"	"1"	"0"	"0"
"2168"	"Multiple Object Tracking"	"2019.0"	"0.0"	"20.0"	"0.0"	"0.0"	"0.0"	"20.0"	"2009.0"	"inf"	""	"1.0"	""	"49025"	"1"	"0"	"0"
