""	"task"	"year"	"num_dataset_births"	"num_papers_adopting"	"num_dataset_imports"	"num_papers_growing"	"size"	"task_age"	"adoption_ratio"	"creation_ratio"	"adoption_pct"	"creation_pct"	"pwc_size"	"CV"	"NLP"	"Methodology"
"724"	"Face Generation"	"2021.0"	"0.0"	"8.0"	"0.0"	"0.0"	"8.0"	"2010.0"	"inf"	""	"1.0"	""	"37713"	"1"	"0"	"0"
"725"	"Face Recognition"	"2011.0"	"0.0"	"3.0"	"0.0"	"2.0"	"5.0"	"2001.0"	"1.5"	""	"0.6"	""	"359"	"1"	"0"	"0"
"726"	"Face Recognition"	"2013.0"	"0.0"	"10.0"	"0.0"	"7.0"	"17.0"	"2001.0"	"1.4285714285714286"	""	"0.5882352941176471"	""	"6822"	"1"	"0"	"0"
"727"	"Face Recognition"	"2017.0"	"0.0"	"86.0"	"0.0"	"85.0"	"171.0"	"2001.0"	"1.011764705882353"	""	"0.5029239766081871"	""	"23430"	"1"	"0"	"0"
"728"	"Face Recognition"	"2019.0"	"0.0"	"124.0"	"27.0"	"172.0"	"296.0"	"2001.0"	"0.7209302325581395"	"0.0"	"0.4189189189189189"	"0.0"	"49025"	"1"	"0"	"0"
"729"	"Face Recognition"	"2021.0"	"0.0"	"106.0"	"0.0"	"124.0"	"230.0"	"2001.0"	"0.8548387096774194"	""	"0.4608695652173913"	""	"37713"	"1"	"0"	"0"
"730"	"Face Reconstruction"	"2015.0"	"0.0"	"18.0"	"2.0"	"0.0"	"18.0"	"2014.0"	"inf"	"0.0"	"1.0"	"0.0"	"12115"	"1"	"0"	"0"
"731"	"Face Reconstruction"	"2017.0"	"0.0"	"11.0"	"0.0"	"10.0"	"21.0"	"2014.0"	"1.1"	""	"0.5238095238095238"	""	"23430"	"1"	"0"	"0"
"732"	"Face Reconstruction"	"2018.0"	"0.0"	"36.0"	"0.0"	"12.0"	"48.0"	"2014.0"	"3.0"	""	"0.75"	""	"36754"	"1"	"0"	"0"
"733"	"Face Reconstruction"	"2020.0"	"0.0"	"25.0"	"0.0"	"22.0"	"47.0"	"2014.0"	"1.1363636363636365"	""	"0.5319148936170213"	""	"63637"	"1"	"0"	"0"
"734"	"Face Reconstruction"	"2021.0"	"0.0"	"9.0"	"0.0"	"6.0"	"15.0"	"2014.0"	"1.5"	""	"0.6"	""	"37713"	"1"	"0"	"0"
"735"	"Face Verification"	"2013.0"	"0.0"	"2.0"	"0.0"	"5.0"	"7.0"	"2009.0"	"0.4"	""	"0.2857142857142857"	""	"6822"	"1"	"0"	"0"
"736"	"Face Verification"	"2014.0"	"0.0"	"4.0"	"0.0"	"8.0"	"12.0"	"2009.0"	"0.5"	""	"0.3333333333333333"	""	"9766"	"1"	"0"	"0"
"737"	"Face Verification"	"2017.0"	"0.0"	"57.0"	"0.0"	"19.0"	"76.0"	"2009.0"	"3.0"	""	"0.75"	""	"23430"	"1"	"0"	"0"
"738"	"Face Verification"	"2019.0"	"0.0"	"28.0"	"33.0"	"33.0"	"61.0"	"2009.0"	"0.8484848484848485"	"0.0"	"0.45901639344262296"	"0.0"	"49025"	"1"	"0"	"0"
"739"	"Face Verification"	"2020.0"	"0.0"	"31.0"	"0.0"	"35.0"	"66.0"	"2009.0"	"0.8857142857142857"	""	"0.4696969696969697"	""	"63637"	"1"	"0"	"0"
"740"	"Face Verification"	"2021.0"	"0.0"	"14.0"	"0.0"	"19.0"	"33.0"	"2009.0"	"0.7368421052631579"	""	"0.42424242424242425"	""	"37713"	"1"	"0"	"0"
"741"	"Facial Expression Recognition"	"2015.0"	"0.0"	"2.0"	"0.0"	"6.0"	"8.0"	"2010.0"	"0.3333333333333333"	""	"0.25"	""	"12115"	"1"	"0"	"0"
"742"	"Facial Expression Recognition"	"2017.0"	"0.0"	"2.0"	"0.0"	"10.0"	"12.0"	"2010.0"	"0.2"	""	"0.16666666666666666"	""	"23430"	"1"	"0"	"0"
"743"	"Facial Expression Recognition"	"2020.0"	"0.0"	"20.0"	"0.0"	"64.0"	"84.0"	"2010.0"	"0.3125"	""	"0.23809523809523808"	""	"63637"	"1"	"0"	"0"
"744"	"Facial Expression Recognition"	"2021.0"	"0.0"	"52.0"	"0.0"	"48.0"	"100.0"	"2010.0"	"1.0833333333333333"	""	"0.52"	""	"37713"	"1"	"0"	"0"
"745"	"Facial Landmark Detection"	"2015.0"	"0.0"	"1.0"	"0.0"	"24.0"	"25.0"	"2011.0"	"0.041666666666666664"	""	"0.04"	""	"12115"	"1"	"0"	"0"
"746"	"Facial Landmark Detection"	"2016.0"	"0.0"	"1.0"	"0.0"	"23.0"	"24.0"	"2011.0"	"0.043478260869565216"	""	"0.041666666666666664"	""	"17276"	"1"	"0"	"0"
"747"	"Facial Landmark Detection"	"2017.0"	"0.0"	"11.0"	"0.0"	"26.0"	"37.0"	"2011.0"	"0.4230769230769231"	""	"0.2972972972972973"	""	"23430"	"1"	"0"	"0"
"748"	"Facial Landmark Detection"	"2019.0"	"0.0"	"5.0"	"11.0"	"53.0"	"58.0"	"2011.0"	"0.09433962264150944"	"0.0"	"0.08620689655172414"	"0.0"	"49025"	"1"	"0"	"0"
"749"	"Facial Landmark Detection"	"2020.0"	"0.0"	"9.0"	"0.0"	"33.0"	"42.0"	"2011.0"	"0.2727272727272727"	""	"0.21428571428571427"	""	"63637"	"1"	"0"	"0"
"750"	"Facial Landmark Detection"	"2021.0"	"0.0"	"3.0"	"0.0"	"10.0"	"13.0"	"2011.0"	"0.3"	""	"0.23076923076923078"	""	"37713"	"1"	"0"	"0"
"751"	"Federated Learning"	"2018.0"	"0.0"	"2.0"	"0.0"	"0.0"	"2.0"	"2016.0"	"inf"	""	"1.0"	""	"36754"	"0"	"0"	"1"
"752"	"Federated Learning"	"2019.0"	"0.0"	"4.0"	"2.0"	"0.0"	"4.0"	"2016.0"	"inf"	"0.0"	"1.0"	"0.0"	"49025"	"0"	"0"	"1"
"753"	"Federated Learning"	"2021.0"	"0.0"	"4.0"	"0.0"	"2.0"	"6.0"	"2016.0"	"2.0"	""	"0.6666666666666666"	""	"37713"	"0"	"0"	"1"
"754"	"Few-Shot Image Classification"	"2017.0"	"0.0"	"1.0"	"0.0"	"8.0"	"9.0"	"2014.0"	"0.125"	""	"0.1111111111111111"	""	"23430"	"1"	"0"	"1"
"755"	"Few-Shot Image Classification"	"2020.0"	"0.0"	"2.0"	"0.0"	"13.0"	"15.0"	"2014.0"	"0.15384615384615385"	""	"0.13333333333333333"	""	"63637"	"1"	"0"	"1"
"756"	"Few-Shot Learning"	"2014.0"	"0.0"	"1.0"	"0.0"	"0.0"	"1.0"	"2013.0"	"inf"	""	"1.0"	""	"9766"	"1"	"0"	"1"
"757"	"Few-Shot Learning"	"2015.0"	"0.0"	"3.0"	"0.0"	"0.0"	"3.0"	"2013.0"	"inf"	""	"1.0"	""	"12115"	"1"	"0"	"1"
"758"	"Few-Shot Learning"	"2018.0"	"0.0"	"72.0"	"0.0"	"0.0"	"72.0"	"2013.0"	"inf"	""	"1.0"	""	"36754"	"1"	"0"	"1"
"759"	"Few-Shot Learning"	"2020.0"	"0.0"	"225.0"	"0.0"	"13.0"	"238.0"	"2013.0"	"17.307692307692307"	""	"0.9453781512605042"	""	"63637"	"1"	"0"	"1"
"760"	"Fine-Grained Image Classification"	"2018.0"	"0.0"	"4.0"	"0.0"	"10.0"	"14.0"	"2013.0"	"0.4"	""	"0.2857142857142857"	""	"36754"	"1"	"0"	"1"
"761"	"Fine-Grained Image Classification"	"2019.0"	"0.0"	"4.0"	"5.0"	"31.0"	"35.0"	"2013.0"	"0.12903225806451613"	"0.0"	"0.11428571428571428"	"0.0"	"49025"	"1"	"0"	"1"
"762"	"Fine-Grained Image Classification"	"2020.0"	"0.0"	"6.0"	"0.0"	"44.0"	"50.0"	"2013.0"	"0.13636363636363635"	""	"0.12"	""	"63637"	"1"	"0"	"1"
"763"	"Fine-Grained Image Classification"	"2021.0"	"0.0"	"8.0"	"0.0"	"27.0"	"35.0"	"2013.0"	"0.2962962962962963"	""	"0.22857142857142856"	""	"37713"	"1"	"0"	"1"
"764"	"Generalized Few-Shot Classification"	"2019.0"	"0.0"	"2.0"	"2.0"	"0.0"	"2.0"	"2019.0"	"inf"	"0.0"	"1.0"	"0.0"	"49025"	"1"	"0"	"1"
"765"	"Generalized Few-Shot Classification"	"2020.0"	"0.0"	"1.0"	"0.0"	"0.0"	"1.0"	"2019.0"	"inf"	""	"1.0"	""	"63637"	"1"	"0"	"1"
"766"	"Generalized Few-Shot Learning"	"2017.0"	"0.0"	"5.0"	"0.0"	"0.0"	"5.0"	"2017.0"	"inf"	""	"1.0"	""	"23430"	"0"	"0"	"1"
"767"	"Generalized Few-Shot Learning"	"2018.0"	"0.0"	"3.0"	"0.0"	"0.0"	"3.0"	"2017.0"	"inf"	""	"1.0"	""	"36754"	"0"	"0"	"1"
"768"	"Generalized Few-Shot Learning"	"2019.0"	"0.0"	"7.0"	"4.0"	"0.0"	"7.0"	"2017.0"	"inf"	"0.0"	"1.0"	"0.0"	"49025"	"0"	"0"	"1"
"769"	"Generalized Few-Shot Learning"	"2020.0"	"0.0"	"5.0"	"0.0"	"0.0"	"5.0"	"2017.0"	"inf"	""	"1.0"	""	"63637"	"0"	"0"	"1"
"770"	"Gesture Recognition"	"2020.0"	"0.0"	"4.0"	"0.0"	"3.0"	"7.0"	"2009.0"	"1.3333333333333333"	""	"0.5714285714285714"	""	"63637"	"1"	"0"	"0"
"771"	"Graph Clustering"	"2016.0"	"0.0"	"6.0"	"0.0"	"0.0"	"6.0"	"2012.0"	"inf"	""	"1.0"	""	"17276"	"0"	"0"	"0"
"772"	"Graph Clustering"	"2017.0"	"0.0"	"2.0"	"0.0"	"0.0"	"2.0"	"2012.0"	"inf"	""	"1.0"	""	"23430"	"0"	"0"	"0"
"773"	"Graph Clustering"	"2018.0"	"0.0"	"4.0"	"0.0"	"0.0"	"4.0"	"2012.0"	"inf"	""	"1.0"	""	"36754"	"0"	"0"	"0"
"774"	"Graph Clustering"	"2019.0"	"0.0"	"12.0"	"10.0"	"0.0"	"12.0"	"2012.0"	"inf"	"0.0"	"1.0"	"0.0"	"49025"	"0"	"0"	"0"
"775"	"Graph Clustering"	"2020.0"	"0.0"	"7.0"	"0.0"	"0.0"	"7.0"	"2012.0"	"inf"	""	"1.0"	""	"63637"	"0"	"0"	"0"
"776"	"Graph Clustering"	"2021.0"	"0.0"	"3.0"	"0.0"	"0.0"	"3.0"	"2012.0"	"inf"	""	"1.0"	""	"37713"	"0"	"0"	"0"
"777"	"Graph Embedding"	"2018.0"	"0.0"	"2.0"	"0.0"	"0.0"	"2.0"	"2008.0"	"inf"	""	"1.0"	""	"36754"	"0"	"0"	"1"
"778"	"Graph Embedding"	"2019.0"	"0.0"	"2.0"	"5.0"	"0.0"	"2.0"	"2008.0"	"inf"	"0.0"	"1.0"	"0.0"	"49025"	"0"	"0"	"1"
"779"	"Graph Embedding"	"2021.0"	"0.0"	"5.0"	"0.0"	"0.0"	"5.0"	"2008.0"	"inf"	""	"1.0"	""	"37713"	"0"	"0"	"1"
"780"	"Graph Representation Learning"	"2021.0"	"0.0"	"2.0"	"0.0"	"0.0"	"2.0"	"2017.0"	"inf"	""	"1.0"	""	"37713"	"0"	"0"	"1"
"781"	"Graph-to-Sequence"	"2018.0"	"0.0"	"1.0"	"0.0"	"0.0"	"1.0"	"2017.0"	"inf"	""	"1.0"	""	"36754"	"0"	"1"	"0"
"782"	"Graph-to-Sequence"	"2019.0"	"0.0"	"1.0"	"1.0"	"0.0"	"1.0"	"2017.0"	"inf"	"0.0"	"1.0"	"0.0"	"49025"	"0"	"1"	"0"
"783"	"Graph-to-Sequence"	"2020.0"	"0.0"	"1.0"	"0.0"	"0.0"	"1.0"	"2017.0"	"inf"	""	"1.0"	""	"63637"	"0"	"1"	"0"
"784"	"Hand Gesture Recognition"	"2014.0"	"0.0"	"1.0"	"0.0"	"1.0"	"2.0"	"2013.0"	"1.0"	""	"0.5"	""	"9766"	"1"	"0"	"0"
"785"	"Hand Gesture Recognition"	"2015.0"	"0.0"	"1.0"	"0.0"	"1.0"	"2.0"	"2013.0"	"1.0"	""	"0.5"	""	"12115"	"1"	"0"	"0"
"786"	"Hand Gesture Recognition"	"2017.0"	"0.0"	"9.0"	"0.0"	"7.0"	"16.0"	"2013.0"	"1.2857142857142858"	""	"0.5625"	""	"23430"	"1"	"0"	"0"
"787"	"Hand Gesture Recognition"	"2018.0"	"0.0"	"9.0"	"0.0"	"6.0"	"15.0"	"2013.0"	"1.5"	""	"0.6"	""	"36754"	"1"	"0"	"0"
"788"	"Hand Gesture Recognition"	"2019.0"	"0.0"	"16.0"	"5.0"	"1.0"	"17.0"	"2013.0"	"16.0"	"0.0"	"0.9411764705882353"	"0.0"	"49025"	"1"	"0"	"0"
"789"	"Hand Gesture Recognition"	"2020.0"	"0.0"	"13.0"	"0.0"	"3.0"	"16.0"	"2013.0"	"4.333333333333333"	""	"0.8125"	""	"63637"	"1"	"0"	"0"
"790"	"Hand Gesture Recognition"	"2021.0"	"0.0"	"8.0"	"0.0"	"2.0"	"10.0"	"2013.0"	"4.0"	""	"0.8"	""	"37713"	"1"	"0"	"0"
"791"	"Hand Pose Estimation"	"2018.0"	"0.0"	"4.0"	"0.0"	"0.0"	"4.0"	"2014.0"	"inf"	""	"1.0"	""	"36754"	"1"	"0"	"0"
"792"	"Hand Pose Estimation"	"2021.0"	"0.0"	"2.0"	"0.0"	"2.0"	"4.0"	"2014.0"	"1.0"	""	"0.5"	""	"37713"	"1"	"0"	"0"
"793"	"Hierarchical Reinforcement Learning"	"2019.0"	"0.0"	"1.0"	"1.0"	"0.0"	"1.0"	"1999.0"	"inf"	"0.0"	"1.0"	"0.0"	"49025"	"0"	"0"	"1"
"794"	"Human action generation"	"2018.0"	"0.0"	"4.0"	"0.0"	"0.0"	"4.0"	"2018.0"	"inf"	""	"1.0"	""	"36754"	"1"	"0"	"0"
"795"	"Human action generation"	"2019.0"	"0.0"	"4.0"	"1.0"	"0.0"	"4.0"	"2018.0"	"inf"	"0.0"	"1.0"	"0.0"	"49025"	"1"	"0"	"0"
"796"	"Image Captioning"	"2014.0"	"0.0"	"10.0"	"0.0"	"0.0"	"10.0"	"2011.0"	"inf"	""	"1.0"	""	"9766"	"1"	"0"	"0"
"797"	"Image Captioning"	"2015.0"	"0.0"	"44.0"	"0.0"	"0.0"	"44.0"	"2011.0"	"inf"	""	"1.0"	""	"12115"	"1"	"0"	"0"
"798"	"Image Captioning"	"2017.0"	"0.0"	"80.0"	"0.0"	"0.0"	"80.0"	"2011.0"	"inf"	""	"1.0"	""	"23430"	"1"	"0"	"0"
"799"	"Image Captioning"	"2020.0"	"0.0"	"140.0"	"0.0"	"22.0"	"162.0"	"2011.0"	"6.363636363636363"	""	"0.8641975308641975"	""	"63637"	"1"	"0"	"0"
"800"	"Image Captioning"	"2021.0"	"0.0"	"65.0"	"0.0"	"18.0"	"83.0"	"2011.0"	"3.611111111111111"	""	"0.7831325301204819"	""	"37713"	"1"	"0"	"0"
"801"	"Image Classification"	"2016.0"	"0.0"	"11.0"	"0.0"	"134.0"	"145.0"	"2007.0"	"0.08208955223880597"	""	"0.07586206896551724"	""	"17276"	"1"	"0"	"1"
"802"	"Image Classification"	"2020.0"	"0.0"	"33.0"	"0.0"	"1085.0"	"1118.0"	"2007.0"	"0.030414746543778803"	""	"0.029516994633273702"	""	"63637"	"1"	"0"	"1"
"803"	"Image Clustering"	"2012.0"	"0.0"	"8.0"	"0.0"	"0.0"	"8.0"	"2009.0"	"inf"	""	"1.0"	""	"4735"	"1"	"0"	"0"
"804"	"Image Clustering"	"2013.0"	"0.0"	"9.0"	"0.0"	"0.0"	"9.0"	"2009.0"	"inf"	""	"1.0"	""	"6822"	"1"	"0"	"0"
"805"	"Image Clustering"	"2014.0"	"0.0"	"1.0"	"0.0"	"0.0"	"1.0"	"2009.0"	"inf"	""	"1.0"	""	"9766"	"1"	"0"	"0"
"806"	"Image Clustering"	"2015.0"	"0.0"	"23.0"	"0.0"	"0.0"	"23.0"	"2009.0"	"inf"	""	"1.0"	""	"12115"	"1"	"0"	"0"
"807"	"Image Clustering"	"2016.0"	"0.0"	"23.0"	"0.0"	"0.0"	"23.0"	"2009.0"	"inf"	""	"1.0"	""	"17276"	"1"	"0"	"0"
"808"	"Image Clustering"	"2017.0"	"0.0"	"17.0"	"0.0"	"0.0"	"17.0"	"2009.0"	"inf"	""	"1.0"	""	"23430"	"1"	"0"	"0"
"809"	"Image Clustering"	"2018.0"	"0.0"	"47.0"	"0.0"	"0.0"	"47.0"	"2009.0"	"inf"	""	"1.0"	""	"36754"	"1"	"0"	"0"
"810"	"Image Clustering"	"2019.0"	"0.0"	"54.0"	"24.0"	"0.0"	"54.0"	"2009.0"	"inf"	"0.0"	"1.0"	"0.0"	"49025"	"1"	"0"	"0"
"811"	"Image Clustering"	"2020.0"	"0.0"	"107.0"	"0.0"	"0.0"	"107.0"	"2009.0"	"inf"	""	"1.0"	""	"63637"	"1"	"0"	"0"
"812"	"Image Clustering"	"2021.0"	"0.0"	"58.0"	"0.0"	"0.0"	"58.0"	"2009.0"	"inf"	""	"1.0"	""	"37713"	"1"	"0"	"0"
"813"	"Image Compression"	"2014.0"	"0.0"	"1.0"	"0.0"	"0.0"	"1.0"	"2012.0"	"inf"	""	"1.0"	""	"9766"	"1"	"0"	"0"
"814"	"Image Compression"	"2016.0"	"0.0"	"3.0"	"0.0"	"0.0"	"3.0"	"2012.0"	"inf"	""	"1.0"	""	"17276"	"1"	"0"	"0"
"815"	"Image Compression"	"2017.0"	"0.0"	"13.0"	"0.0"	"0.0"	"13.0"	"2012.0"	"inf"	""	"1.0"	""	"23430"	"1"	"0"	"0"
"816"	"Image Compression"	"2018.0"	"0.0"	"19.0"	"0.0"	"0.0"	"19.0"	"2012.0"	"inf"	""	"1.0"	""	"36754"	"1"	"0"	"0"
"817"	"Image Compression"	"2019.0"	"0.0"	"7.0"	"4.0"	"0.0"	"7.0"	"2012.0"	"inf"	"0.0"	"1.0"	"0.0"	"49025"	"1"	"0"	"0"
"818"	"Image Compression"	"2020.0"	"0.0"	"31.0"	"0.0"	"0.0"	"31.0"	"2012.0"	"inf"	""	"1.0"	""	"63637"	"1"	"0"	"0"
"819"	"Image Compression"	"2021.0"	"0.0"	"12.0"	"0.0"	"0.0"	"12.0"	"2012.0"	"inf"	""	"1.0"	""	"37713"	"1"	"0"	"0"
"820"	"Image Denoising"	"2015.0"	"0.0"	"7.0"	"0.0"	"0.0"	"7.0"	"2008.0"	"inf"	""	"1.0"	""	"12115"	"1"	"0"	"0"
"821"	"Image Denoising"	"2016.0"	"0.0"	"11.0"	"0.0"	"0.0"	"11.0"	"2008.0"	"inf"	""	"1.0"	""	"17276"	"1"	"0"	"0"
"822"	"Image Denoising"	"2019.0"	"0.0"	"65.0"	"9.0"	"0.0"	"65.0"	"2008.0"	"inf"	"0.0"	"1.0"	"0.0"	"49025"	"1"	"0"	"0"
"823"	"Image Denoising"	"2020.0"	"0.0"	"68.0"	"0.0"	"0.0"	"68.0"	"2008.0"	"inf"	""	"1.0"	""	"63637"	"1"	"0"	"0"
"824"	"Image Denoising"	"2021.0"	"0.0"	"41.0"	"0.0"	"0.0"	"41.0"	"2008.0"	"inf"	""	"1.0"	""	"37713"	"1"	"0"	"0"
"825"	"Image Enhancement"	"2020.0"	"0.0"	"2.0"	"0.0"	"1.0"	"3.0"	"2003.0"	"2.0"	""	"0.6666666666666666"	""	"63637"	"1"	"0"	"0"
"826"	"Image Generation"	"2014.0"	"0.0"	"4.0"	"0.0"	"0.0"	"4.0"	"2013.0"	"inf"	""	"1.0"	""	"9766"	"1"	"1"	"0"
"827"	"Image Generation"	"2015.0"	"0.0"	"22.0"	"0.0"	"0.0"	"22.0"	"2013.0"	"inf"	""	"1.0"	""	"12115"	"1"	"1"	"0"
"828"	"Image Generation"	"2016.0"	"0.0"	"72.0"	"0.0"	"0.0"	"72.0"	"2013.0"	"inf"	""	"1.0"	""	"17276"	"1"	"1"	"0"
"829"	"Image Generation"	"2018.0"	"0.0"	"257.0"	"0.0"	"0.0"	"257.0"	"2013.0"	"inf"	""	"1.0"	""	"36754"	"1"	"1"	"0"
"830"	"Image Generation"	"2021.0"	"0.0"	"363.0"	"0.0"	"27.0"	"390.0"	"2013.0"	"13.444444444444445"	""	"0.9307692307692308"	""	"37713"	"1"	"1"	"0"
"831"	"Image Inpainting"	"2016.0"	"0.0"	"5.0"	"0.0"	"0.0"	"5.0"	"2010.0"	"inf"	""	"1.0"	""	"17276"	"1"	"0"	"0"
"832"	"Image Inpainting"	"2017.0"	"0.0"	"8.0"	"0.0"	"0.0"	"8.0"	"2010.0"	"inf"	""	"1.0"	""	"23430"	"1"	"0"	"0"
"833"	"Image Inpainting"	"2018.0"	"0.0"	"28.0"	"0.0"	"0.0"	"28.0"	"2010.0"	"inf"	""	"1.0"	""	"36754"	"1"	"0"	"0"
"834"	"Image Inpainting"	"2019.0"	"0.0"	"73.0"	"2.0"	"0.0"	"73.0"	"2010.0"	"inf"	"0.0"	"1.0"	"0.0"	"49025"	"1"	"0"	"0"
"835"	"Image Inpainting"	"2020.0"	"0.0"	"69.0"	"17.0"	"0.0"	"69.0"	"2010.0"	"inf"	"0.0"	"1.0"	"0.0"	"63637"	"1"	"0"	"0"
"836"	"Image Inpainting"	"2021.0"	"0.0"	"18.0"	"0.0"	"0.0"	"18.0"	"2010.0"	"inf"	""	"1.0"	""	"37713"	"1"	"0"	"0"
"837"	"Image Instance Retrieval"	"2020.0"	"0.0"	"1.0"	"0.0"	"0.0"	"1.0"	"2015.0"	"inf"	""	"1.0"	""	"63637"	"1"	"0"	"0"
"838"	"Image Quality Assessment"	"2019.0"	"0.0"	"2.0"	"0.0"	"0.0"	"2.0"	"2013.0"	"inf"	""	"1.0"	""	"49025"	"1"	"0"	"0"
"839"	"Image Quality Assessment"	"2021.0"	"0.0"	"2.0"	"0.0"	"0.0"	"2.0"	"2013.0"	"inf"	""	"1.0"	""	"37713"	"1"	"0"	"0"
"840"	"Image Recognition"	"2020.0"	"0.0"	"3.0"	"0.0"	"0.0"	"3.0"	"2011.0"	"inf"	""	"1.0"	""	"63637"	"1"	"0"	"0"
"841"	"Image Reconstruction"	"2019.0"	"0.0"	"2.0"	"0.0"	"0.0"	"2.0"	"2009.0"	"inf"	""	"1.0"	""	"49025"	"1"	"0"	"0"
"842"	"Image Restoration"	"2018.0"	"0.0"	"1.0"	"0.0"	"0.0"	"1.0"	"2009.0"	"inf"	""	"1.0"	""	"36754"	"1"	"0"	"0"
"843"	"Image Restoration"	"2019.0"	"0.0"	"4.0"	"0.0"	"0.0"	"4.0"	"2009.0"	"inf"	""	"1.0"	""	"49025"	"1"	"0"	"0"
"844"	"Image Restoration"	"2020.0"	"0.0"	"14.0"	"3.0"	"0.0"	"14.0"	"2009.0"	"inf"	"0.0"	"1.0"	"0.0"	"63637"	"1"	"0"	"0"
"845"	"Image Restoration"	"2021.0"	"0.0"	"11.0"	"0.0"	"0.0"	"11.0"	"2009.0"	"inf"	""	"1.0"	""	"37713"	"1"	"0"	"0"
"846"	"Image Retrieval"	"2014.0"	"0.0"	"6.0"	"0.0"	"1.0"	"7.0"	"2008.0"	"6.0"	""	"0.8571428571428571"	""	"9766"	"1"	"0"	"0"
"847"	"Image Retrieval"	"2019.0"	"0.0"	"92.0"	"0.0"	"13.0"	"105.0"	"2008.0"	"7.076923076923077"	""	"0.8761904761904762"	""	"49025"	"1"	"0"	"0"
"848"	"Image Retrieval"	"2020.0"	"0.0"	"50.0"	"10.0"	"19.0"	"69.0"	"2008.0"	"2.6315789473684212"	"0.0"	"0.7246376811594203"	"0.0"	"63637"	"1"	"0"	"0"
"849"	"Image Retrieval"	"2021.0"	"0.0"	"35.0"	"0.0"	"7.0"	"42.0"	"2008.0"	"5.0"	""	"0.8333333333333334"	""	"37713"	"1"	"0"	"0"
"850"	"Image Retrieval with Multi-Modal Query"	"2018.0"	"0.0"	"1.0"	"0.0"	"0.0"	"1.0"	"2014.0"	"inf"	""	"1.0"	""	"36754"	"0"	"0"	"0"
"851"	"Image Retrieval with Multi-Modal Query"	"2020.0"	"0.0"	"1.0"	"0.0"	"0.0"	"1.0"	"2014.0"	"inf"	""	"1.0"	""	"63637"	"0"	"0"	"0"
"852"	"Image Super-Resolution"	"2014.0"	"0.0"	"3.0"	"0.0"	"2.0"	"5.0"	"2010.0"	"1.5"	""	"0.6"	""	"9766"	"1"	"0"	"0"
"853"	"Image Super-Resolution"	"2019.0"	"0.0"	"90.0"	"0.0"	"62.0"	"152.0"	"2010.0"	"1.4516129032258065"	""	"0.5921052631578947"	""	"49025"	"1"	"0"	"0"
"854"	"Image Super-Resolution"	"2021.0"	"0.0"	"32.0"	"0.0"	"43.0"	"75.0"	"2010.0"	"0.7441860465116279"	""	"0.4266666666666667"	""	"37713"	"1"	"0"	"0"
"856"	"Image-to-Image Translation"	"2015.0"	"0.0"	"10.0"	"0.0"	"0.0"	"10.0"	"2015.0"	"inf"	""	"1.0"	""	"12115"	"1"	"0"	"0"
"857"	"Image-to-Image Translation"	"2016.0"	"0.0"	"21.0"	"0.0"	"0.0"	"21.0"	"2015.0"	"inf"	""	"1.0"	""	"17276"	"1"	"0"	"0"
"858"	"Image-to-Image Translation"	"2017.0"	"0.0"	"62.0"	"0.0"	"0.0"	"62.0"	"2015.0"	"inf"	""	"1.0"	""	"23430"	"1"	"0"	"0"
"859"	"Image-to-Image Translation"	"2018.0"	"0.0"	"80.0"	"0.0"	"0.0"	"80.0"	"2015.0"	"inf"	""	"1.0"	""	"36754"	"1"	"0"	"0"
"860"	"Image-to-Image Translation"	"2020.0"	"0.0"	"170.0"	"39.0"	"0.0"	"170.0"	"2015.0"	"inf"	"0.0"	"1.0"	"0.0"	"63637"	"1"	"0"	"0"
"861"	"Image-to-Image Translation"	"2021.0"	"0.0"	"87.0"	"0.0"	"0.0"	"87.0"	"2015.0"	"inf"	""	"1.0"	""	"37713"	"1"	"0"	"0"
"862"	"Imitation Learning"	"2018.0"	"0.0"	"1.0"	"0.0"	"5.0"	"6.0"	"2008.0"	"0.2"	""	"0.16666666666666666"	""	"36754"	"0"	"0"	"1"
"863"	"Imitation Learning"	"2020.0"	"0.0"	"2.0"	"1.0"	"11.0"	"13.0"	"2008.0"	"0.18181818181818182"	"0.0"	"0.15384615384615385"	"0.0"	"63637"	"0"	"0"	"1"
"864"	"Imitation Learning"	"2021.0"	"0.0"	"2.0"	"0.0"	"4.0"	"6.0"	"2008.0"	"0.5"	""	"0.3333333333333333"	""	"37713"	"0"	"0"	"1"
"865"	"Imputation"	"2020.0"	"0.0"	"1.0"	"0.0"	"0.0"	"1.0"	"2010.0"	"inf"	""	"1.0"	""	"63637"	"1"	"0"	"0"
"866"	"Indoor Scene Reconstruction"	"2020.0"	"0.0"	"2.0"	"1.0"	"0.0"	"2.0"	"2015.0"	"inf"	"0.0"	"1.0"	"0.0"	"63637"	"1"	"0"	"0"
"867"	"Information Retrieval"	"2016.0"	"0.0"	"1.0"	"0.0"	"0.0"	"1.0"	"2007.0"	"inf"	""	"1.0"	""	"17276"	"0"	"1"	"0"
"868"	"Information Retrieval"	"2017.0"	"0.0"	"1.0"	"0.0"	"1.0"	"2.0"	"2007.0"	"1.0"	""	"0.5"	""	"23430"	"0"	"1"	"0"
"869"	"Information Retrieval"	"2018.0"	"0.0"	"3.0"	"0.0"	"0.0"	"3.0"	"2007.0"	"inf"	""	"1.0"	""	"36754"	"0"	"1"	"0"
