""	"task"	"categories"	"parents"	"children"	"siblings"
"446"	"Concept-To-Text Generation"	"[]"	"['Text Generation']"	"[]"	"['Multi-Document Summarization', 'News Generation', 'Paper generation', 'Fact-based Text Editing', 'Conditional Text Generation', 'Text Infilling', 'Story Completion', 'Paraphrase Generation', 'Text Style Transfer', 'Spelling Correction', 'Question-Answer-Generation', 'Table-to-Text Generation', 'Concept-To-Text Generation', 'Dialogue Generation', 'Sonnet Generation', 'Distractor Generation', 'Data-to-Text Generation']"
"447"	"Sonnet Generation"	"[]"	"['Text Generation']"	"[]"	"['Multi-Document Summarization', 'News Generation', 'Paper generation', 'Fact-based Text Editing', 'Conditional Text Generation', 'Text Infilling', 'Story Completion', 'Paraphrase Generation', 'Text Style Transfer', 'Spelling Correction', 'Question-Answer-Generation', 'Table-to-Text Generation', 'Concept-To-Text Generation', 'Dialogue Generation', 'Sonnet Generation', 'Distractor Generation', 'Data-to-Text Generation']"
"448"	"Fact-based Text Editing"	"[]"	"['Text Generation']"	"[]"	"['Multi-Document Summarization', 'News Generation', 'Paper generation', 'Fact-based Text Editing', 'Conditional Text Generation', 'Text Infilling', 'Story Completion', 'Paraphrase Generation', 'Text Style Transfer', 'Spelling Correction', 'Question-Answer-Generation', 'Table-to-Text Generation', 'Concept-To-Text Generation', 'Dialogue Generation', 'Sonnet Generation', 'Distractor Generation', 'Data-to-Text Generation']"
"449"	"Typeface Completion"	"['Computer Vision']"	"[]"	"[]"	"[]"
"450"	"Code Generation"	"['Computer Code', 'Natural Language Processing']"	"[]"	"['Code Documentation Generation']"	"[]"
"451"	"Code Documentation Generation"	"['Computer Code']"	"['Code Generation']"	"['CodeSearchNet - Java']"	"['Code Documentation Generation']"
"452"	"Activity Recognition"	"['Computer Vision']"	"[]"	"['Action Recognition', 'Multimodal Activity Recognition', 'Egocentric Activity Recognition', 'Group Activity Recognition', 'Human action generation', 'Cross-Domain Activity Recognition', 'Concurrent Activity Recognition', 'Recognizing And Localizing Human Actions']"	"[]"
"453"	"Multimodal Activity Recognition"	"[]"	"['Activity Recognition']"	"[]"	"['Human action generation', 'Action Recognition', 'Egocentric Activity Recognition', 'Recognizing And Localizing Human Actions', 'Concurrent Activity Recognition', 'Multimodal Activity Recognition', 'Group Activity Recognition', 'Cross-Domain Activity Recognition']"
"454"	"Egocentric Activity Recognition"	"[]"	"['Activity Recognition']"	"[]"	"['Human action generation', 'Action Recognition', 'Egocentric Activity Recognition', 'Recognizing And Localizing Human Actions', 'Concurrent Activity Recognition', 'Multimodal Activity Recognition', 'Group Activity Recognition', 'Cross-Domain Activity Recognition']"
"455"	"Group Activity Recognition"	"[]"	"['Activity Recognition']"	"[]"	"['Human action generation', 'Action Recognition', 'Egocentric Activity Recognition', 'Recognizing And Localizing Human Actions', 'Concurrent Activity Recognition', 'Multimodal Activity Recognition', 'Group Activity Recognition', 'Cross-Domain Activity Recognition']"
"456"	"Human action generation"	"['Computer Vision']"	"['Activity Recognition']"	"['Action Generation']"	"['Human action generation', 'Action Recognition', 'Egocentric Activity Recognition', 'Recognizing And Localizing Human Actions', 'Concurrent Activity Recognition', 'Multimodal Activity Recognition', 'Group Activity Recognition', 'Cross-Domain Activity Recognition']"
"457"	"Cross-Domain Activity Recognition"	"[]"	"['Activity Recognition']"	"[]"	"['Human action generation', 'Action Recognition', 'Egocentric Activity Recognition', 'Recognizing And Localizing Human Actions', 'Concurrent Activity Recognition', 'Multimodal Activity Recognition', 'Group Activity Recognition', 'Cross-Domain Activity Recognition']"
"458"	"Concurrent Activity Recognition"	"[]"	"['Activity Recognition']"	"[]"	"['Human action generation', 'Action Recognition', 'Egocentric Activity Recognition', 'Recognizing And Localizing Human Actions', 'Concurrent Activity Recognition', 'Multimodal Activity Recognition', 'Group Activity Recognition', 'Cross-Domain Activity Recognition']"
"459"	"Recognizing And Localizing Human Actions"	"[]"	"['Activity Recognition']"	"[]"	"['Human action generation', 'Action Recognition', 'Egocentric Activity Recognition', 'Recognizing And Localizing Human Actions', 'Concurrent Activity Recognition', 'Multimodal Activity Recognition', 'Group Activity Recognition', 'Cross-Domain Activity Recognition']"
"460"	"Image Comprehension"	"['Computer Vision']"	"[]"	"[]"	"[]"
"461"	"Relational Reasoning"	"['Natural Language Processing']"	"[]"	"[]"	"[]"
"462"	"Dictionary Learning"	"['Methodology']"	"[]"	"[]"	"[]"
"463"	"Zero-Shot Machine Translation"	"['Natural Language Processing']"	"[]"	"[]"	"[]"
"464"	"Knowledge Tracing"	"['Miscellaneous']"	"[]"	"[]"	"[]"
"465"	"Knowledge Graphs"	"['Knowledge Base']"	"[]"	"['Knowledge Graph Completion', 'Open Knowledge Graph Canonicalization', 'Relational Pattern Learning']"	"[]"
"466"	"Knowledge Graph Completion"	"['Knowledge Base']"	"['Knowledge Graphs']"	"['Inductive knowledge graph completion']"	"['Knowledge Graph Completion', 'Open Knowledge Graph Canonicalization', 'Relational Pattern Learning']"
"467"	"Open Knowledge Graph Canonicalization"	"[]"	"['Knowledge Graphs']"	"[]"	"['Knowledge Graph Completion', 'Open Knowledge Graph Canonicalization', 'Relational Pattern Learning']"
"468"	"Relational Pattern Learning"	"[]"	"['Knowledge Graphs']"	"[]"	"['Knowledge Graph Completion', 'Open Knowledge Graph Canonicalization', 'Relational Pattern Learning']"
"469"	"Irregular Time Series"	"['Time Series']"	"[]"	"[]"	"[]"
"470"	"Text-To-Image"	"['Computer Vision']"	"[]"	"['Story Visualization']"	"[]"
"471"	"Story Visualization"	"[]"	"['Text-To-Image']"	"[]"	"['Story Visualization']"
"472"	"Crowds"	"['Computer Vision']"	"[]"	"['Crowd Counting', 'Visual Crowd Analysis', 'Group Detection In Crowds']"	"[]"
"473"	"Crowd Counting"	"[]"	"['Crowds']"	"[]"	"['Crowd Counting', 'Group Detection In Crowds', 'Visual Crowd Analysis']"
"474"	"Visual Crowd Analysis"	"[]"	"['Crowds']"	"[]"	"['Crowd Counting', 'Group Detection In Crowds', 'Visual Crowd Analysis']"
"475"	"Group Detection In Crowds"	"[]"	"['Crowds']"	"[]"	"['Crowd Counting', 'Group Detection In Crowds', 'Visual Crowd Analysis']"
"476"	"Visual Sentiment Prediction"	"['Computer Vision']"	"[]"	"[]"	"[]"
"477"	"Visual Reasoning"	"['Computer Vision', 'Reasoning']"	"[]"	"['Visual Commonsense Reasoning']"	"[]"
"478"	"Visual Commonsense Reasoning"	"[]"	"['Visual Reasoning']"	"[]"	"['Visual Commonsense Reasoning']"
"479"	"Visual Odometry"	"['Robots']"	"[]"	"['Monocular Visual Odometry']"	"[]"
"480"	"Monocular Visual Odometry"	"[]"	"['Visual Odometry']"	"[]"	"['Monocular Visual Odometry']"
"481"	"Pulmonary Artery–Vein Classification"	"[]"	"['Pulmorary Vessel Segmentation']"	"[]"	"['Pulmonary Artery–Vein Classification']"
"482"	"Speech Separation"	"['Speech']"	"[]"	"['Speech Extraction']"	"[]"
"483"	"Speech Extraction"	"[]"	"['Speech Separation']"	"[]"	"['Speech Extraction']"
"484"	"Chinese"	"['Natural Language Processing']"	"[]"	"['Chinese Word Segmentation', 'Offline Handwritten Chinese Character Recognition', 'Chinese Zero Pronoun Resolution', 'Chinese Spelling Error Correction', 'Handwritten Chinese Text Recognition']"	"[]"
"485"	"Chinese Word Segmentation"	"[]"	"['Chinese']"	"[]"	"['Chinese Zero Pronoun Resolution', 'Chinese Spelling Error Correction', 'Handwritten Chinese Text Recognition', 'Offline Handwritten Chinese Character Recognition', 'Chinese Word Segmentation']"
"486"	"Chinese Zero Pronoun Resolution"	"[]"	"['Chinese']"	"[]"	"['Chinese Zero Pronoun Resolution', 'Chinese Spelling Error Correction', 'Handwritten Chinese Text Recognition', 'Offline Handwritten Chinese Character Recognition', 'Chinese Word Segmentation']"
"487"	"Chinese Spelling Error Correction"	"['Natural Language Processing']"	"['Chinese']"	"[]"	"['Chinese Zero Pronoun Resolution', 'Chinese Spelling Error Correction', 'Handwritten Chinese Text Recognition', 'Offline Handwritten Chinese Character Recognition', 'Chinese Word Segmentation']"
"488"	"Common Sense Reasoning"	"['Reasoning']"	"[]"	"[]"	"[]"
"489"	"Word Sense Disambiguation"	"['Natural Language Processing']"	"[]"	"['Word Sense Induction']"	"[]"
"490"	"Word Sense Induction"	"['Natural Language Processing']"	"['Word Sense Disambiguation']"	"[]"	"['Word Sense Induction']"
"491"	"Sleep Quality"	"['Medical']"	"[]"	"['Sleep Stage Detection', 'Spindle Detection', 'Sleep Micro-event detection', 'K-complex detection', 'Multimodal Sleep Stage Detection', 'Sleep Arousal Detection', 'Sleep apnea detection', 'Sleep Quality Prediction']"	"[]"
"492"	"Sleep Stage Detection"	"[]"	"['Sleep Quality']"	"[]"	"['K-complex detection', 'Sleep Arousal Detection', 'Sleep Quality Prediction', 'Sleep Stage Detection', 'Spindle Detection', 'Multimodal Sleep Stage Detection', 'Sleep apnea detection', 'Sleep Micro-event detection']"
"493"	"Spindle Detection"	"[]"	"['Sleep Quality']"	"[]"	"['K-complex detection', 'Sleep Arousal Detection', 'Sleep Quality Prediction', 'Sleep Stage Detection', 'Spindle Detection', 'Multimodal Sleep Stage Detection', 'Sleep apnea detection', 'Sleep Micro-event detection']"
"494"	"Sleep Micro-event detection"	"[]"	"['Sleep Quality']"	"[]"	"['K-complex detection', 'Sleep Arousal Detection', 'Sleep Quality Prediction', 'Sleep Stage Detection', 'Spindle Detection', 'Multimodal Sleep Stage Detection', 'Sleep apnea detection', 'Sleep Micro-event detection']"
"495"	"K-complex detection"	"[]"	"['Sleep Quality']"	"[]"	"['K-complex detection', 'Sleep Arousal Detection', 'Sleep Quality Prediction', 'Sleep Stage Detection', 'Spindle Detection', 'Multimodal Sleep Stage Detection', 'Sleep apnea detection', 'Sleep Micro-event detection']"
"496"	"Multimodal Sleep Stage Detection"	"[]"	"['Sleep Quality']"	"[]"	"['K-complex detection', 'Sleep Arousal Detection', 'Sleep Quality Prediction', 'Sleep Stage Detection', 'Spindle Detection', 'Multimodal Sleep Stage Detection', 'Sleep apnea detection', 'Sleep Micro-event detection']"
"497"	"Sleep Arousal Detection"	"[]"	"['Sleep Quality']"	"[]"	"['K-complex detection', 'Sleep Arousal Detection', 'Sleep Quality Prediction', 'Sleep Stage Detection', 'Spindle Detection', 'Multimodal Sleep Stage Detection', 'Sleep apnea detection', 'Sleep Micro-event detection']"
"498"	"Sleep apnea detection"	"[]"	"['Sleep Quality']"	"[]"	"['K-complex detection', 'Sleep Arousal Detection', 'Sleep Quality Prediction', 'Sleep Stage Detection', 'Spindle Detection', 'Multimodal Sleep Stage Detection', 'Sleep apnea detection', 'Sleep Micro-event detection']"
"499"	"Sleep Quality Prediction"	"[]"	"['Sleep Quality']"	"[]"	"['K-complex detection', 'Sleep Arousal Detection', 'Sleep Quality Prediction', 'Sleep Stage Detection', 'Spindle Detection', 'Multimodal Sleep Stage Detection', 'Sleep apnea detection', 'Sleep Micro-event detection']"
"500"	"Spoken Language Understanding"	"['Speech']"	"['Dialogue Understanding']"	"['Spoken language identification']"	"['Spoken Language Understanding']"
"501"	"Spoken language identification"	"[]"	"['Spoken Language Understanding']"	"[]"	"['Spoken language identification']"
"502"	"Spoken Dialogue Systems"	"['Speech']"	"[]"	"[]"	"[]"
"503"	"Natural Language Inference"	"['Natural Language Processing']"	"[]"	"['Cross-Lingual Natural Language Inference']"	"[]"
"504"	"Cross-Lingual Natural Language Inference"	"[]"	"['Natural Language Inference']"	"[]"	"['Cross-Lingual Natural Language Inference']"
"505"	"Electromyography (EMG)"	"['Medical']"	"[]"	"['ALS Detection', 'EMG Signal Prediction', 'Medial knee JRF Prediction', 'Muscle Force Prediction']"	"[]"
"506"	"ALS Detection"	"[]"	"['Electromyography (EMG)']"	"[]"	"['Medial knee JRF Prediction', 'ALS Detection', 'Muscle Force Prediction', 'EMG Signal Prediction']"
"507"	"EMG Signal Prediction"	"[]"	"['Electromyography (EMG)']"	"[]"	"['Medial knee JRF Prediction', 'ALS Detection', 'Muscle Force Prediction', 'EMG Signal Prediction']"
"508"	"Medial knee JRF Prediction"	"[]"	"['Electromyography (EMG)']"	"[]"	"['Medial knee JRF Prediction', 'ALS Detection', 'Muscle Force Prediction', 'EMG Signal Prediction']"
"509"	"Muscle Force Prediction"	"[]"	"['Electromyography (EMG)']"	"[]"	"['Medial knee JRF Prediction', 'ALS Detection', 'Muscle Force Prediction', 'EMG Signal Prediction']"
"510"	"Natural Language Visual Grounding"	"['Reasoning']"	"[]"	"[]"	"[]"
"511"	"Language Modelling"	"['Natural Language Processing']"	"[]"	"['Sentence Pair Modeling', 'Cross-Document Language Modeling']"	"[]"
"512"	"Sentence Pair Modeling"	"['Natural Language Processing']"	"['Language Modelling']"	"['Semantic Similarity']"	"['Cross-Document Language Modeling', 'Sentence Pair Modeling']"
"513"	"Cross-Document Language Modeling"	"[]"	"['Language Modelling']"	"[]"	"['Cross-Document Language Modeling', 'Sentence Pair Modeling']"
"514"	"Speaker Identification"	"['Speech']"	"[]"	"[]"	"[]"
"515"	"Speaker Diarization"	"['Speech']"	"[]"	"[]"	"[]"
"516"	"Speaker Recognition"	"['Speech']"	"[]"	"[]"	"[]"
"517"	"Speaker Separation"	"['Speech']"	"[]"	"['Multi-Speaker Source Separation']"	"[]"
"518"	"Multi-Speaker Source Separation"	"[]"	"['Speaker Separation']"	"[]"	"['Multi-Speaker Source Separation']"
"519"	"Text-Independent Speaker Recognition"	"['Speech']"	"[]"	"[]"	"[]"
"520"	"Speaker Verification"	"['Speech']"	"[]"	"['Text-Independent Speaker Verification', 'Text-Dependent Speaker Verification']"	"[]"
"521"	"Text-Independent Speaker Verification"	"[]"	"['Speaker Verification']"	"[]"	"['Text-Dependent Speaker Verification', 'Text-Independent Speaker Verification']"
"522"	"Text-Dependent Speaker Verification"	"[]"	"['Speaker Verification']"	"[]"	"['Text-Dependent Speaker Verification', 'Text-Independent Speaker Verification']"
"523"	"Ecommerce"	"['Miscellaneous']"	"[]"	"['Product Recommendation', 'Product Categorization', 'Online Ranker Evaluation', 'Online Review Rating']"	"[]"
"524"	"Product Recommendation"	"[]"	"['Ecommerce']"	"[]"	"['Product Categorization', 'Product Recommendation', 'Online Review Rating', 'Online Ranker Evaluation']"
"525"	"Product Categorization"	"[]"	"['Ecommerce']"	"[]"	"['Product Categorization', 'Product Recommendation', 'Online Review Rating', 'Online Ranker Evaluation']"
"526"	"Online Ranker Evaluation"	"[]"	"['Ecommerce']"	"[]"	"['Product Categorization', 'Product Recommendation', 'Online Review Rating', 'Online Ranker Evaluation']"
"527"	"Online Review Rating"	"[]"	"['Ecommerce']"	"[]"	"['Product Categorization', 'Product Recommendation', 'Online Review Rating', 'Online Ranker Evaluation']"
"528"	"Drug Discovery"	"['Medical']"	"[]"	"[]"	"[]"
"529"	"Seizure Detection"	"['Medical']"	"[]"	"[]"	"[]"
"530"	"Diabetic Retinopathy Detection"	"['Medical']"	"[]"	"[]"	"[]"
"531"	"Medical Diagnosis"	"['Medical', 'Computer Vision']"	"[]"	"['Retinal OCT Disease Classification', 'Thoracic Disease Classification', 'Blood Cell Count', ""alzheimer's disease detection"", 'CBC TEST']"	"[]"
"532"	"Thoracic Disease Classification"	"[]"	"['Medical Diagnosis']"	"[]"	"[""alzheimer's disease detection"", 'CBC TEST', 'Thoracic Disease Classification', 'Retinal OCT Disease Classification', 'Blood Cell Count']"
"533"	"Blood Cell Count"	"[]"	"['Medical Diagnosis']"	"[]"	"[""alzheimer's disease detection"", 'CBC TEST', 'Thoracic Disease Classification', 'Retinal OCT Disease Classification', 'Blood Cell Count']"
"534"	"alzheimer's disease detection"	"[]"	"['Medical Diagnosis']"	"[]"	"[""alzheimer's disease detection"", 'CBC TEST', 'Thoracic Disease Classification', 'Retinal OCT Disease Classification', 'Blood Cell Count']"
"535"	"CBC TEST"	"[]"	"['Medical Diagnosis']"	"[]"	"[""alzheimer's disease detection"", 'CBC TEST', 'Thoracic Disease Classification', 'Retinal OCT Disease Classification', 'Blood Cell Count']"
"536"	"Sequential Diagnosis"	"['Medical']"	"[]"	"[]"	"[]"
"537"	"Patient Outcomes"	"['Medical']"	"[]"	"['Predicting Patient Outcomes', 'Outcome Prediction In Multimodal Mri']"	"[]"
"538"	"Predicting Patient Outcomes"	"[]"	"['Patient Outcomes']"	"[]"	"['Outcome Prediction In Multimodal Mri', 'Predicting Patient Outcomes']"
"539"	"Outcome Prediction In Multimodal Mri"	"[]"	"['Patient Outcomes']"	"[]"	"['Outcome Prediction In Multimodal Mri', 'Predicting Patient Outcomes']"
"540"	"Mammogram"	"['Medical']"	"[]"	"['Whole Mammogram Classification', 'Mass Segmentation From Mammograms', 'Breast Mass Segmentation In Whole Mammograms']"	"[]"
"541"	"Whole Mammogram Classification"	"[]"	"['Mammogram']"	"[]"	"['Mass Segmentation From Mammograms', 'Whole Mammogram Classification', 'Breast Mass Segmentation In Whole Mammograms']"
"542"	"Mass Segmentation From Mammograms"	"[]"	"['Mammogram']"	"[]"	"['Mass Segmentation From Mammograms', 'Whole Mammogram Classification', 'Breast Mass Segmentation In Whole Mammograms']"
"543"	"Breast Mass Segmentation In Whole Mammograms"	"[]"	"['Mammogram']"	"[]"	"['Mass Segmentation From Mammograms', 'Whole Mammogram Classification', 'Breast Mass Segmentation In Whole Mammograms']"
"544"	"Ecg Risk Stratification"	"['Medical']"	"[]"	"[]"	"[]"
"545"	"Atrial Fibrillation"	"['Medical']"	"[]"	"['Atrial Fibrillation Detection', 'Atrial Fibrillation Recurrence Estimation']"	"[]"
"546"	"Atrial Fibrillation Detection"	"[]"	"['Atrial Fibrillation']"	"[]"	"['Atrial Fibrillation Recurrence Estimation', 'Atrial Fibrillation Detection']"
"547"	"Atrial Fibrillation Recurrence Estimation"	"[]"	"['Atrial Fibrillation']"	"[]"	"['Atrial Fibrillation Recurrence Estimation', 'Atrial Fibrillation Detection']"
"548"	"Skin"	"['Medical']"	"[]"	"['Skin Lesion Classification', 'Skin Lesion Identification']"	"[]"
"549"	"Skin Lesion Classification"	"[]"	"['Skin']"	"[]"	"['Skin Lesion Identification', 'Skin Lesion Classification']"
"550"	"Skin Lesion Identification"	"[]"	"['Skin']"	"[]"	"['Skin Lesion Identification', 'Skin Lesion Classification']"
"551"	"Malware Classification"	"['Miscellaneous']"	"[]"	"['Malware Detection', 'Android Malware Detection', 'Behavioral Malware Classification', 'Behavioral Malware Detection']"	"[]"
"552"	"Malware Detection"	"[]"	"['Malware Classification']"	"[]"	"['Behavioral Malware Classification', 'Android Malware Detection', 'Malware Detection', 'Behavioral Malware Detection']"
"553"	"Android Malware Detection"	"[]"	"['Malware Classification']"	"[]"	"['Behavioral Malware Classification', 'Android Malware Detection', 'Malware Detection', 'Behavioral Malware Detection']"
"554"	"Behavioral Malware Classification"	"[]"	"['Malware Classification']"	"[]"	"['Behavioral Malware Classification', 'Android Malware Detection', 'Malware Detection', 'Behavioral Malware Detection']"
"555"	"Behavioral Malware Detection"	"[]"	"['Malware Classification']"	"[]"	"['Behavioral Malware Classification', 'Android Malware Detection', 'Malware Detection', 'Behavioral Malware Detection']"
"556"	"Advertising"	"['Miscellaneous']"	"[]"	"['Detecting Adverts']"	"[]"
"557"	"Detecting Adverts"	"[]"	"['Advertising']"	"[]"	"['Detecting Adverts']"
"558"	"Saliency Detection"	"['Computer Vision']"	"[]"	"['Saliency Prediction', 'Co-Salient Object Detection', 'Video Saliency Detection']"	"[]"
"559"	"Saliency Prediction"	"['Computer Vision']"	"['Saliency Detection', 'Few-Shot Transfer Learning for Saliency Prediction']"	"['Few-Shot Transfer Learning for Saliency Prediction', 'Aerial Video Saliency Prediction']"	"['Video Saliency Detection', 'Co-Salient Object Detection', 'Saliency Prediction']"
"560"	"Co-Salient Object Detection"	"[]"	"['Saliency Detection', 'RGB Salient Object Detection']"	"[]"	"['Video Salient Object Detection', 'Video Saliency Detection', 'Co-Salient Object Detection', 'Saliency Prediction']"
"561"	"Video Saliency Detection"	"[]"	"['Saliency Detection']"	"[]"	"['Video Saliency Detection', 'Co-Salient Object Detection', 'Saliency Prediction']"
"562"	"Matrix Completion"	"['Methodology']"	"[]"	"['Low-Rank Matrix Completion']"	"[]"
"563"	"Low-Rank Matrix Completion"	"[]"	"['Matrix Completion']"	"[]"	"['Low-Rank Matrix Completion']"
"564"	"Fraud Detection"	"['Miscellaneous']"	"[]"	"[]"	"[]"
"565"	"Abuse Detection"	"['Natural Language Processing']"	"[]"	"['Hate Speech Detection']"	"[]"
"566"	"Hate Speech Detection"	"['Natural Language Processing']"	"['Abuse Detection']"	"['Hope Speech Detection']"	"['Hate Speech Detection']"
"567"	"Intrusion Detection"	"['Miscellaneous']"	"[]"	"['Network Intrusion Detection']"	"[]"
"568"	"Network Intrusion Detection"	"[]"	"['Intrusion Detection']"	"[]"	"['Network Intrusion Detection']"
"569"	"Fault Detection"	"['Miscellaneous']"	"[]"	"[]"	"[]"
"570"	"Clickbait Detection"	"['Natural Language Processing']"	"[]"	"[]"	"[]"
"571"	"Negation Detection"	"['Natural Language Processing']"	"[]"	"['Negation Scope Resolution']"	"[]"
"572"	"Negation Scope Resolution"	"[]"	"['Negation Detection']"	"[]"	"['Negation Scope Resolution']"
"573"	"Outlier Detection"	"['Methodology']"	"[]"	"['One-class classifier', 'outlier ensembles', 'Outlier Interpretation']"	"[]"
"574"	"One-class classifier"	"['Methodology']"	"['Outlier Detection']"	"[]"	"['One-class classifier', 'Outlier Interpretation', 'outlier ensembles']"
"575"	"outlier ensembles"	"[]"	"['Outlier Detection']"	"[]"	"['One-class classifier', 'Outlier Interpretation', 'outlier ensembles']"
"576"	"Outlier Interpretation"	"[]"	"['Outlier Detection']"	"[]"	"['One-class classifier', 'Outlier Interpretation', 'outlier ensembles']"
"577"	"Stance Detection"	"['Natural Language Processing']"	"[]"	"['Stance Detection (US Election 2020 - Biden)', 'Stance Detection (US Election 2020 - Trump)']"	"[]"
"578"	"Stance Detection (US Election 2020 - Biden)"	"[]"	"['Stance Detection']"	"[]"	"['Stance Detection (US Election 2020 - Trump)', 'Stance Detection (US Election 2020 - Biden)']"
"579"	"Stance Detection (US Election 2020 - Trump)"	"[]"	"['Stance Detection']"	"[]"	"['Stance Detection (US Election 2020 - Trump)', 'Stance Detection (US Election 2020 - Biden)']"
"580"	"Frame Duplication Detection"	"['Computer Vision']"	"[]"	"[]"	"[]"
"581"	"Contour Detection"	"['Computer Vision']"	"[]"	"[]"	"[]"
"582"	"Edge Detection"	"['Computer Vision']"	"[]"	"[]"	"[]"
"583"	"Boundary Detection"	"['Computer Vision']"	"[]"	"['Junction Detection']"	"[]"
"584"	"Junction Detection"	"[]"	"['Boundary Detection']"	"[]"	"['Junction Detection']"
"585"	"Adversarial Text"	"['Adversarial']"	"[]"	"[]"	"[]"
"586"	"Adversarial Attack"	"['Adversarial', 'Computer Vision']"	"[]"	"['Adversarial Attack Detection', 'Real-World Adversarial Attack']"	"[]"
"587"	"Adversarial Attack Detection"	"[]"	"['Adversarial Attack']"	"[]"	"['Adversarial Attack Detection', 'Real-World Adversarial Attack']"
"588"	"Real-World Adversarial Attack"	"[]"	"['Adversarial Attack']"	"[]"	"['Adversarial Attack Detection', 'Real-World Adversarial Attack']"
"589"	"Adversarial Defense"	"['Adversarial']"	"[]"	"['Provable Adversarial Defense']"	"[]"
"590"	"Provable Adversarial Defense"	"[]"	"['Adversarial Defense']"	"[]"	"['Provable Adversarial Defense']"
"591"	"Robotic Grasping"	"['Robots', 'Miscellaneous']"	"[]"	"['Grasp Contact Prediction']"	"[]"
"592"	"Grasp Contact Prediction"	"[]"	"['Robotic Grasping']"	"[]"	"['Grasp Contact Prediction']"
"593"	"audio-visual event localization"	"[]"	"[]"	"[]"	"[]"
"594"	"Automatic Sleep Stage Classification"	"['Medical']"	"[]"	"[]"	"[]"
"595"	"Automatic Machine Learning Model Selection"	"['Methodology']"	"[]"	"[]"	"[]"
"596"	"Robot Task Planning"	"['Robots']"	"[]"	"[]"	"[]"
"597"	"Multiple Instance Learning"	"['Methodology']"	"[]"	"[]"	"[]"
"598"	"Multiple People Tracking"	"['Computer Vision']"	"[]"	"[]"	"[]"
"599"	"Melody Extraction"	"['Music']"	"[]"	"[]"	"[]"
"600"	"Open Information Extraction"	"['Natural Language Processing']"	"[]"	"['Event Extraction']"	"[]"
"601"	"Event Extraction"	"['Natural Language Processing']"	"['Open Information Extraction', 'Information Extraction']"	"[]"	"['Event Extraction', 'Definition Extraction', 'Attribute Value Extraction', 'Temporal Information Extraction', 'Low Resource Named Entity Recognition', 'Extractive Summarization', 'Drug–drug Interaction Extraction', 'Joint Entity and Relation Extraction']"
"602"	"Information Extraction"	"['Natural Language Processing']"	"[]"	"['Extractive Summarization', 'Event Extraction', 'Joint Entity and Relation Extraction', 'Temporal Information Extraction', 'Low Resource Named Entity Recognition', 'Drug–drug Interaction Extraction', 'Definition Extraction', 'Attribute Value Extraction']"	"[]"
"603"	"Extractive Summarization"	"[]"	"['Information Extraction']"	"[]"	"['Event Extraction', 'Definition Extraction', 'Attribute Value Extraction', 'Temporal Information Extraction', 'Low Resource Named Entity Recognition', 'Extractive Summarization', 'Drug–drug Interaction Extraction', 'Joint Entity and Relation Extraction']"
"604"	"Temporal Information Extraction"	"[]"	"['Information Extraction', 'Temporal Processing']"	"[]"	"['Event Extraction', 'Timex normalization', 'Definition Extraction', 'Attribute Value Extraction', 'Temporal Information Extraction', 'Low Resource Named Entity Recognition', 'Document Dating', 'Extractive Summarization', 'Drug–drug Interaction Extraction', 'Joint Entity and Relation Extraction']"
"605"	"Low Resource Named Entity Recognition"	"[]"	"['Information Extraction']"	"[]"	"['Event Extraction', 'Definition Extraction', 'Attribute Value Extraction', 'Temporal Information Extraction', 'Low Resource Named Entity Recognition', 'Extractive Summarization', 'Drug–drug Interaction Extraction', 'Joint Entity and Relation Extraction']"
"606"	"Drug–drug Interaction Extraction"	"[]"	"['Information Extraction']"	"[]"	"['Event Extraction', 'Definition Extraction', 'Attribute Value Extraction', 'Temporal Information Extraction', 'Low Resource Named Entity Recognition', 'Extractive Summarization', 'Drug–drug Interaction Extraction', 'Joint Entity and Relation Extraction']"
"607"	"Definition Extraction"	"[]"	"['Information Extraction']"	"[]"	"['Event Extraction', 'Definition Extraction', 'Attribute Value Extraction', 'Temporal Information Extraction', 'Low Resource Named Entity Recognition', 'Extractive Summarization', 'Drug–drug Interaction Extraction', 'Joint Entity and Relation Extraction']"
"608"	"Attribute Value Extraction"	"['Natural Language Processing']"	"['Information Extraction']"	"[]"	"['Event Extraction', 'Definition Extraction', 'Attribute Value Extraction', 'Temporal Information Extraction', 'Low Resource Named Entity Recognition', 'Extractive Summarization', 'Drug–drug Interaction Extraction', 'Joint Entity and Relation Extraction']"
"609"	"Entity Extraction using GAN"	"['Natural Language Processing']"	"[]"	"[]"	"[]"
"610"	"Recipe Generation"	"['Miscellaneous']"	"[]"	"[]"	"[]"
"611"	"Medical Relation Extraction"	"['Medical']"	"[]"	"[]"	"[]"
"612"	"Semantic Segmentation"	"['Computer Code', 'Time Series', 'Computer Vision']"	"[]"	"['Tumor Segmentation', '3D Semantic Segmentation', 'Real-Time Semantic Segmentation', 'Scene Segmentation', 'Panoptic Segmentation', 'Weakly-Supervised Semantic Segmentation', '3D Part Segmentation', 'Semi-Supervised Semantic Segmentation', 'One-Shot Segmentation', 'indoor scene understanding', 'Unsupervised Semantic Segmentation', '4D Spatio Temporal Semantic Segmentation', 'Attentive segmentation networks', 'UNET Segmentation', 'Histopathological Segmentation', 'Road Segementation', 'Aerial Video Semantic Segmentation', 'Polyp Segmentation']"	"[]"
